path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
4 Strings - Lights Out (Original Mix).mp3,Lights Out,4 Strings,,,313887,1YfV5hauGiF9ZM6MW6DQDG,https://open.spotify.com/track/1YfV5hauGiF9ZM6MW6DQDG,1,Lights Out,4 Strings
5 Seconds Of Summer - Youngblood (Alt Version).mp3,Youngblood (Alt Version),5 Seconds Of Summer,,,205662,6NnrABRPQdGmWRssVFYTAA,https://open.spotify.com/track/6NnrABRPQdGmWRssVFYTAA,0.7,Youngblood - Live,5 Seconds of Summer
Afrojack - Rock The House (Official Music Video).mp3,Rock The House,Afrojack,,,305554,3J57KX2pdbNW4SWoV1QYwR,https://open.spotify.com/track/3J57KX2pdbNW4SWoV1QYwR,0.9,Rock The House,AFROJACK
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (1).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (1),Algorhythm,,,398289,04uug95UbkxW39rFd93Pta,https://open.spotify.com/track/04uug95UbkxW39rFd93Pta,0.4,I Don't Know,"DJ ELO, ZYZZCVNT"
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (2).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (2),Algorhythm,,,398289,6p7ifKvDurKJQjPweI6sUs,https://open.spotify.com/track/6p7ifKvDurKJQjPweI6sUs,0,I Don't Know - Slowed,Veylow
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix),Algorhythm,,,398289,0kocV39gxuEDkuXkYbAwgp,https://open.spotify.com/track/1riwr8ynXe2I2NPlldCwEu,0.633,don'tknowwheretogo,Fay Wildhagen
Aquascape Makassar Go Green My Bedroom.mp3,Aquascape Makassar Go Green My Bedroom,,,,151589,3acYyNAO0NmcZQGeewNKFj,https://open.spotify.com/track/3acYyNAO0NmcZQGeewNKFj,0,The Johnny Cash Trail,"Sun Kil Moon, Mark Kozelek"
Audien - Elysium (OUT NOW).mp3,Elysium,Audien,,,97437,2cYd1WlfIjQ4r4ZdNRWhZS,https://open.spotify.com/track/2cYd1WlfIjQ4r4ZdNRWhZS,0.9,Elysium,Audien
Audio Bullys - I'm In Love.mp3,I'm In Love,Audio Bullys,,,187507,07Kk2yC0HYQ1Fn7hYEq9in,https://open.spotify.com/track/07Kk2yC0HYQ1Fn7hYEq9in,0.9,I'm In Love,Audio Bullys
Audio Bullys ft. Nancy Sinatra - Bang Bang HQ.mp3,Bang Bang HQ,Audio Bullys ft. Nancy Sinatra,,,413048,0KNsDuBaORrBsYlOlsMDNK,https://open.spotify.com/track/0KNsDuBaORrBsYlOlsMDNK,0,Nancy Sinatra,Granville
Bass King Vs. X-Vertigo feat. Golden Sun - Kings (Music Video).mp3,Kings (Music Video),Bass King Vs. X-Vertigo feat. Golden Sun,,,225776,0PjGxOaBFjQfesMeT5HbAw,https://open.spotify.com/track/0PjGxOaBFjQfesMeT5HbAw,0,Klask,"Kudos, Madcum"
Basto & Yves V - CloudBreaker (Radio Mix).mp3,CloudBreaker (Radio Mix),Basto & Yves V,,,201012,1UZfthwGFQvhyOLVO1ubE1,https://open.spotify.com/track/33w8uhoFjr7Y9FkzHDf94f,1.000,Coco Chanel,"Jiyo, Rap La Rue"
Basto - Again and Again (Official Music Video) [HD].mp3,Again and Again,Basto,,,195788,3yH57uoM6DiDCFKHQeEYOr,https://open.spotify.com/track/3yH57uoM6DiDCFKHQeEYOr,0.3,We Rise Again,Basto
Basto - BONNY (Original Mix).mp3,BONNY,Basto,,,403984,6Ydb4Owr9KxgszKBOpiGoQ,https://open.spotify.com/track/6Ydb4Owr9KxgszKBOpiGoQ,1,Bonny,Basto
Basto - Gregory's Theme (Original Mix).mp3,Gregory's Theme,Basto,,,428016,3FGD77E7LQ8r05GVZ69AVq,https://open.spotify.com/track/3FGD77E7LQ8r05GVZ69AVq,0.7,Gregory's Theme - Radio Edit,Basto
Basto - I Rave You (Original Mix).mp3,I Rave You,Basto,,,325172,6AdO3lwtelkxgR5APR7JfJ,https://open.spotify.com/track/6AdO3lwtelkxgR5APR7JfJ,1,I Rave You,Basto
Ben Pearce - What I Might Do (Official Video).mp3,What I Might Do,Ben Pearce,,,188709,4Rnfx020sYy3YoxvA3oMS2,https://open.spotify.com/track/4Rnfx020sYy3YoxvA3oMS2,0.95,What I Might Do,Ben Pearce
Benny Benassi - No matter what you do.mp3,No matter what you do,Benny Benassi,,,206002,7K0o4DqoSCwHAJFs9ystBp,https://open.spotify.com/track/7K0o4DqoSCwHAJFs9ystBp,0.8,No Matter What You Do,"Benny Benassi, The Biz"
Benny Benassi ft. Gary Go - Cinema [OFFICAL VIDEO HD].mp3,Cinema [OFFICAL VIDEO HD],Benny Benassi ft. Gary Go,,,209580,1GD5ooLHgV9nolrem1DBiB,https://open.spotify.com/track/1GD5ooLHgV9nolrem1DBiB,0.4,The Veldt Cinema - BYNX Edit,"deadmau5, Benny Benassi, Gary Go, BYNX"
Benny Benassi ft. Gary Go - Control [Official Video HD].mp3,Control,Benny Benassi ft. Gary Go,,,227187,1b2wViwhvtmJU6B8wCGsLi,https://open.spotify.com/track/1b2wViwhvtmJU6B8wCGsLi,0,Laying Low,Chillinit
Blasterjaxx - Fifteen (Hardwell Edit) - [OUT NOW!].mp3,Fifteen (Hardwell Edit) -,Blasterjaxx,,,311719,1h96lhczwxFZKLSdpRUQkg,https://open.spotify.com/track/1h96lhczwxFZKLSdpRUQkg,0.65,Fifteen - Hardwell Edit,"Blasterjaxx, Hardwell"
Calvin Harris & Alesso - Under Control ft. Hurts.mp3,Under Control ft. Hurts,Calvin Harris & Alesso,,,210442,7nAXfUXXKEiJpSimISdBO7,https://open.spotify.com/track/7nAXfUXXKEiJpSimISdBO7,0.5,Under Control (Originally Performed by Calvin Harris & Alesso ft. Hurts) [Karaoke Version],Dirty Beats Nation
Calvin Harris - Bounce ft. Kelis.mp3,Bounce ft. Kelis,Calvin Harris,,,230766,5h9tqwOWEdpOduemnAORDg,https://open.spotify.com/track/5h9tqwOWEdpOduemnAORDg,0.4,Bounce (made popular by Calvin Harris ft. Kelis) [vocal version],Party Tyme
Calvin Harris - Let's Go ft. Ne-Yo.mp3,Let's Go ft. Ne-Yo,Calvin Harris,,,246204,3IGzuI2gNj928brIQoLRH2,https://open.spotify.com/track/3IGzuI2gNj928brIQoLRH2,0.4,Let's Go (made popular by Calvin Harris ft. Ne-Yo) [vocal version],Party Tyme
Calvin Harris - Sweet Nothing ft. Florence Welch.mp3,Sweet Nothing ft. Florence Welch,Calvin Harris,,,268878,4QVmCvjMWcRKnXlEnL88Vx,https://open.spotify.com/track/4QVmCvjMWcRKnXlEnL88Vx,0.4,Sweet Nothing (made popular by Calvin Harris ft. Florence Welch) [backing version],Party Tyme
Calvin Harris feat. Example - We'll Be Coming Back (Lyrics).mp3,We'll Be Coming Back,Calvin Harris feat. Example,,,232020,7B1Dl3tXqySkB8OPEwVvSu,https://open.spotify.com/track/7B1Dl3tXqySkB8OPEwVvSu,0.7,We'll Be Coming Back (feat. Example),"Calvin Harris, Example"
Carnage & Borgore - Incredible (Original Mix).mp3,Incredible,Carnage & Borgore,,,376973,6fgbPCCH3zTKhxOQzQZnHx,https://open.spotify.com/track/6fgbPCCH3zTKhxOQzQZnHx,0,Winning Endgame,Young ELO
Cedric Gervais & Borgore - Deception (Original Mix).mp3,Deception,Cedric Gervais & Borgore,,,345469,74nIm9QrKDel3mLozTXk3Q,https://open.spotify.com/track/74nIm9QrKDel3mLozTXk3Q,0.7,Deception,"Cedric Gervais, Borgore"
Cedric Gervais & CID - Never Come Close (OUT NOW).mp3,Never Come Close,Cedric Gervais & CID,,,130821,4U7vudDb1YIAX4vSZpeHMQ,https://open.spotify.com/track/4U7vudDb1YIAX4vSZpeHMQ,0.6,Never Come Close,"Cedric Gervais, CID"
Cedric Gervais - Molly (Original Mix).mp3,Molly,Cedric Gervais,,,412996,0hdiDzQu1FsfaYM1NIL8ma,https://open.spotify.com/track/0hdiDzQu1FsfaYM1NIL8ma,0.8,Molly,"Tyga, Cedric Gervais, Wiz Khalifa, Mally Mall"
Cedric Gervais - The Look (Original Mix).mp3,The Look,Cedric Gervais,,,282358,4ExaqtYL5rVeg3NCMucqHy,https://open.spotify.com/track/4ExaqtYL5rVeg3NCMucqHy,1,The Look,Cedric Gervais
Chase & Status - Count On Me ft. Moko.mp3,Count On Me ft. Moko,Chase & Status,,,229564,5XmKJXidSzQC2aUk35oLyt,https://open.spotify.com/track/4daeTf81vXqeRzwsNZhQE7,0.643,Count On Me (Originally Performed By Chase & Status ft. Moko) [Karaoke Version],Modern Pop United
Chuckie - Who Is Ready To Jump (Dada Life Remix).mp3,Who Is Ready To Jump (Dada Life Remix),Chuckie,,,313313,34wEODnh0QDcpcONOtHl0B,https://open.spotify.com/track/34wEODnh0QDcpcONOtHl0B,0.8,Who Is Ready To Jump - Dada Life Remix,Chuckie
CLMD - Black Eyes and Blue (official video).mp3,Black Eyes and Blue,CLMD,,,218279,2u0vwXHnI0cl2hs9UwmHYO,https://open.spotify.com/track/2u0vwXHnI0cl2hs9UwmHYO,0.9,Black Eyes and Blue,CLMD
CLMD - Falling Like Angels.mp3,Falling Like Angels,CLMD,,,211461,5B9K4fd9T7A17P8oFb9GWS,https://open.spotify.com/track/5B9K4fd9T7A17P8oFb9GWS,0.9,Falling Like Angels,CLMD
Coldplay - Paradise (Fedde le Grand Remix).mp3,Paradise (Fedde le Grand Remix),Coldplay,,,266893,4cVUwET6QBkiWUdGVNSYPt,https://open.spotify.com/track/4cVUwET6QBkiWUdGVNSYPt,0.2,feelslikeimfallinginlove - Zerb x Coldplay,"Coldplay, Zerb"
Crooklyn Clan - Let's Get Ill (Dirty) (AV161).mp3,Let's Get Ill (Dirty) (AV161),Crooklyn Clan,,,202005,55lfbxKEGBsAm2HJya0xKq,https://open.spotify.com/track/55lfbxKEGBsAm2HJya0xKq,0.05,Limmo,"Dirty Oppland, MadsMedD, Jaa9, Akjeft, Pi, Sjakkmats, OnklP"
Daft Punk - Get Lucky (Audio Jacker Remix).mp3,Get Lucky,Daft Punk,,,453329,69kOkLUCkxIZYexIgSG8rq,https://open.spotify.com/track/69kOkLUCkxIZYexIgSG8rq,0.8,Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers"
David Solano ft. Angelika Vee - Who We Are (OUT NOW).mp3,Who We Are,David Solano ft. Angelika Vee,,,120242,7LLrIlKE8zKhxr1eg2uVlD,https://open.spotify.com/track/7LLrIlKE8zKhxr1eg2uVlD,0,Ascend,"Victoria Orenze, Nathaniel Bassey"
Deadmau5 - Brazil (2nd Edit) (1080p)  HD.mp3,Brazil (2nd Edit) (1080p) HD,Deadmau5,,,398968,5CX19RynzN2Izq6JQj862Z,https://open.spotify.com/track/5CX19RynzN2Izq6JQj862Z,0.600,Brazil - 2nd Edit,deadmau5
Deorro - Yee [OUT NOW!].mp3,Yee,Deorro,,,217940,4NfK4exuaNuABn75exD5Gq,https://open.spotify.com/track/4NfK4exuaNuABn75exD5Gq,0.9,Yee,Deorro
Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,Project T (Martin Garrix Remix),Dimitri Vegas & Like Mike vs Sander van Doorn,,,310570,33saa6gZxyaMNpT9VGuhM2,https://open.spotify.com/track/4UPryYl7gK33A4apqKaG0Y,0.656,Feite Damer (The Broject),"Øsen, Da Dønk Project"
Dimitri Vegas & Like Mike vs. Sander van Doorn - Project T (Martin Garrix Remix) [Teaser].mp3,Project T (Martin Garrix Remix),Dimitri Vegas & Like Mike vs. Sander van Doorn,,,96993,0Hu7MIDZWEiipqaN2UBCet,https://open.spotify.com/track/0Hu7MIDZWEiipqaN2UBCet,0,Heroine,"Dimitri Vegas & Like Mike, Dimitri Vegas"
Disclosure - White Noise ft. AlunaGeorge (Official Video) - Copy (1).mp3,White Noise ft. AlunaGeorge - Copy (1),Disclosure,,,282253,4US7CwkiBfnz3aU3jbgdT9,https://open.spotify.com/track/4US7CwkiBfnz3aU3jbgdT9,0.65,White Noise,"Disclosure, AlunaGeorge"
Disclosure - White Noise ft. AlunaGeorge (Official Video).mp3,White Noise ft. AlunaGeorge,Disclosure,,,282253,4pQyRWJxasoDny2RxiRkda,https://open.spotify.com/track/4pQyRWJxasoDny2RxiRkda,0.6,White Noise,"Disclosure, AlunaGeorge"
Discopolis - Committed to Sparkle Motion (DubVision Remix).mp3,Committed to Sparkle Motion (DubVision Remix),Discopolis,,,364460,4F6P9kNwtx25mqH1NJqfYY,https://open.spotify.com/track/4F6P9kNwtx25mqH1NJqfYY,0.6,Committed to Sparkle Motion - DubVision Remix,"Discopolis, DubVision"
Dj Chuckie - Who is ready to jump (Original Mix).mp3,Who is ready to jump,Dj Chuckie,,,225123,15e36HTrKSAIPbBU3tYgEC,https://open.spotify.com/track/15e36HTrKSAIPbBU3tYgEC,0.7,Who Is Ready To Jump - Club Mix,Chuckie
DJ Dan & Charles Feelgood - Funky Mood.mp3,Funky Mood,DJ Dan & Charles Feelgood,,,365897,0L9DlyVevVLSnq57PLKNCJ,https://open.spotify.com/track/0L9DlyVevVLSnq57PLKNCJ,0.7,Funky Mood,"Charles Feelgood, DJ Dan"
DJ Dan - Out of Nowhere - Guesthouse Music.mp3,Out of Nowhere - Guesthouse Music,DJ Dan,,,356310,2PivL4Oy1PoUsArjrhbSnm,https://open.spotify.com/track/2PivL4Oy1PoUsArjrhbSnm,0.8,Out of Nowhere,DJ Dan
Dj getdown-i'm a Fucking alcoholic.mp3,Dj getdown-i'm a Fucking alcoholic,,,,288052,54BIzFJFloSmNSqBxSSl41,https://open.spotify.com/track/54BIzFJFloSmNSqBxSSl41,0,The Theory Of Relativity,Stars
Don Diablo - Origins (Official Music Video).mp3,Origins,Don Diablo,,,223086,4MMPxiwMPBHE7c25yTalai,https://open.spotify.com/track/4MMPxiwMPBHE7c25yTalai,0.9,Origins,Don Diablo
Dr. Kucho! & Gregor Salto - Can't Stop Playing (Oliver Heldens & Gregor Salto Remix) [OUT NOW].mp3,Can't Stop Playing (Oliver Heldens & Gregor Salto Remix),Dr. Kucho! & Gregor Salto,,,180532,4vTvus8VUlimhegjaHwPyA,https://open.spotify.com/track/4vTvus8VUlimhegjaHwPyA,0.6,Can't Stop Playing (feat. Ane Brun) [Cian McFeely Remix],"DR. KUCHO!, Gregor Salto, Cian McFeely, Ane Brun"
Droplex - Killa Kokain (Original mix).mp3,Killa Kokain,Droplex,,,185887,3J7Mro7WAYxqqCXkUzPqtO,https://open.spotify.com/track/3J7Mro7WAYxqqCXkUzPqtO,0.9,Killa Kokain,Droplex
DVBBS & Borgeous - TSUNAMI (Music Video).mp3,TSUNAMI (Music Video),DVBBS & Borgeous,,,146860,2n3zCFoj5VM9UYGDeiUlPs,https://open.spotify.com/track/2n3zCFoj5VM9UYGDeiUlPs,0.6,Tsunami,R3HAB
Erick Morillo & Eddie Thoneick feat. Shawnee Taylor - Live Your Life (Official Video).mp3,Erick Morillo & Eddie Thoneick feat. Shawnee Taylor,,,,207308,5BdX8V4EBU0ayzJtBXcKoy,https://open.spotify.com/track/5BdX8V4EBU0ayzJtBXcKoy,0,Lost In You - Erick Morillo & Harry Romero Remix,"Erick Morillo, Eddie Thoneick, Angel Taylor, Harry Romero"
Example - Show Me How to Love (feat. Hayla) [Lyric Video].mp3,Show Me How to Love (feat. Hayla),Example,,,216111,5O6lpX4yONTZVSeQC5bncX,https://open.spotify.com/track/5O6lpX4yONTZVSeQC5bncX,0.9,Show Me How to Love (feat. Hayla),"Example, HAYLA"
Fash & Nick Hussey - Shine (Dirty Freek Cino Edit).mp3,Shine (Dirty Freek Cino Edit),Fash & Nick Hussey,,,371017,7GWZC8XrmvdeFAHDyRY1TN,https://open.spotify.com/track/7GWZC8XrmvdeFAHDyRY1TN,0.6,Shine,Atle Pettersen
Fedde le Grand & Nicky Romero ft. Matthew Koma - Sparks (Official Video) @ Ultra Music Festival.mp3,Sparks @ Ultra Music Festival,Fedde le Grand & Nicky Romero ft. Matthew Koma,,,174968,6uTCim4OGFZOauCqHWIpu9,https://open.spotify.com/track/6uTCim4OGFZOauCqHWIpu9,0.1,Heaven (feat. Sofia Quinn) - Club Mix,"Fedde Le Grand, Robert Falcon, Sofia Quinn"
Fedde le Grand - Metrum (Official release).mp3,Metrum,Fedde le Grand,,,338103,0GEQCUbNLrpLwMC1q1KRDh,https://open.spotify.com/track/0GEQCUbNLrpLwMC1q1KRDh,0.8,Metrum - Original Club Mix,Fedde Le Grand
Fedde Le Grand - So Much Love (Official Music Video).mp3,So Much Love,Fedde Le Grand,,,242181,5cJvhn5VKVDfUZNqO2jOT4,https://open.spotify.com/track/5cJvhn5VKVDfUZNqO2jOT4,0.7,So Much Love - Radio Edit,Fedde Le Grand
Filatov - Back in the Love (Dmitry Filatov Mix)  .rpt.mp3,Back in the Love (Dmitry Filatov Mix) .rpt,Filatov,,,434286,2jvLrxgUAb0vxtvJa4I8fg,https://open.spotify.com/track/2jvLrxgUAb0vxtvJa4I8fg,0,Invite Only,Dthang
Firebeatz & Schella - Wicked (Original Mix).mp3,Wicked,Firebeatz & Schella,,,316134,0W9w672xCxil4UohSbrtMy,https://open.spotify.com/track/0W9w672xCxil4UohSbrtMy,0.7,Wicked,"Firebeatz, Schella"
Funk Agenda - What The Fuck.mp3,What The Fuck,Funk Agenda,,,396460,3R3xZdFKzn7yTjAiFcOLiK,https://open.spotify.com/track/3R3xZdFKzn7yTjAiFcOLiK,0.5,What The Fuck - Original Club Mix,Funkagenda
Futuristic Polar Bears - Back To Earth [OUT NOW!].mp3,Back To Earth,Futuristic Polar Bears,,,330449,0F3bp1LEBpPXWs8kbBlynk,https://open.spotify.com/track/0F3bp1LEBpPXWs8kbBlynk,0.9,Back To Earth,Futuristic Polar Bears
Get Shaky - The Ian Carey Project wlyrics.mp3,The Ian Carey Project wlyrics,Get Shaky,,,379167,4AQ7NZtUhot894zLyFdXc2,https://open.spotify.com/track/4AQ7NZtUhot894zLyFdXc2,0.05,Last Night (feat. Bobby Anthony & Snoop Dogg) - Dani L. Mebius Remix,"Ian Carey, Bobby Anthony, Snoop Dogg, Dani L. Mebius"
Gorgon City - Ready For Your Love ft. MNEK.mp3,Ready For Your Love ft. MNEK,Gorgon City,,,207151,1y7agAufBsudgRXuq6Ekqb,https://open.spotify.com/track/3Kr7UHOUkgaH4PK3Mp1fUP,0.642,Ready For Your Love,"Felix Jaehn, Sophie Ellis-Bextor"
Henry Fong & Toby Green - Revival (Original Mix).mp3,Revival,Henry Fong & Toby Green,,,331938,6qKr5DEHMhyD8HugUyD19C,https://open.spotify.com/track/6qKr5DEHMhyD8HugUyD19C,0,Roll Call,"Thomas & Friends, Mattel"
Ian Carey & Doron feat. Ray J and Kardinal Offishall - Baddest Chick (Official Music Video).mp3,Baddest Chick,Ian Carey & Doron feat. Ray J and Kardinal Offishall,,,184477,5LOKIyPU0CHB5RA7Qjn5jn,https://open.spotify.com/track/5LOKIyPU0CHB5RA7Qjn5jn,0,Plz,Amara
J Paul Getto - Love Is True (Wise D & Kobe remix).mp3,Love Is True (Wise D & Kobe remix),J Paul Getto,,,226900,0jAMoCI28aRJ7oh1RvtVE5,https://open.spotify.com/track/0jAMoCI28aRJ7oh1RvtVE5,0.3,The Vibe,J Paul Getto
Jamnights - Big Fun! (Agent Stereo Needs Some Fun-K Remix).mp3,Big Fun! (Agent Stereo Needs Some Fun-K Remix),Jamnights,,,368039,5H46e2ffRLjM8hsWuMusKe,https://open.spotify.com/track/5H46e2ffRLjM8hsWuMusKe,0,Promise (Go And Get Your Tickets Mix) (feat. R.Kelly),"Ciara, R. Kelly"
"Jason Risk - 1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings].mp3","1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings]",Jason Risk,,,260049,4VqdAm65fW0okSfBKnXG0u,https://open.spotify.com/track/4VqdAm65fW0okSfBKnXG0u,0,Bullrun,"STARBOYS, HENK, Lille Saus, NIL$$EN, D70"
Kat Krazy feat. elkka - Siren (Official Music Video).mp3,Siren,Kat Krazy feat. elkka,,,248398,6UUhruYdm0bgynD8ERUHmL,https://open.spotify.com/track/0l1gk9p3Yy86CJ11MrD9cu,0.851,Siren - Armin van Buuren Remix,"Kat Krazy, Elkka, Armin van Buuren"
Kelis - 4th Of July (Fireworks).mp3,4th Of July (Fireworks),Kelis,,,225776,5CvuiEJ8sHm5mVUCK83lCk,https://open.spotify.com/track/5CvuiEJ8sHm5mVUCK83lCk,0.9,4th Of July (Fireworks),Kelis
Kelis - Acapella.mp3,Acapella,Kelis,,,243801,3B3A4mqiRhspnA3VCyfEbb,https://open.spotify.com/track/3B3A4mqiRhspnA3VCyfEbb,0.95,Acapella,Kelis
Kelis - Brave.mp3,Brave,Kelis,,,219925,3qxVga3DB8cThXKKp1Xbfo,https://open.spotify.com/track/3qxVga3DB8cThXKKp1Xbfo,0.9,Brave,Kelis
